CustomerId,Age,MonthlyCharges,Tenure,Balance,NumOfProducts,HasCard,IsActive,EstimatedSalary,LastPurchase,TotalCharges,Churn,AverageMonthlySpend,Gender_Female,Gender_Male,Geography_France,Geography_Germany,Geography_Spain
1,46,59,10.0,140613.72,2,1,1,53913.87,8,52.51,0,5.25,0.0,1.0,0.0,0.0,1.0
2,57,77,10.0,156477.47,2,0,1,73208.93,4,447.21,1,44.72,1.0,0.0,1.0,0.0,0.0
3,64,49,2.0,72371.2,2,1,1,92274.6,4,456.83,0,228.42,1.0,0.0,0.0,1.0,0.0
4,66,81,5.0,185250.74,2,1,0,62785.33,10,631.25,0,126.25,1.0,0.0,0.0,0.0,1.0
5,66,89,6.0,13240.86,2,1,0,72587.72,11,1403.9,0,233.98,1.0,0.0,1.0,0.0,0.0
6,48,29,1.0,58767.06,1,1,0,59874.54,2,1549.07,0,1549.07,1.0,0.0,1.0,0.0,0.0
7,69,86,10.0,110166.93,2,1,0,76296.5,6,1079.23,0,107.92,0.0,1.0,0.0,0.0,1.0
8,20,86,8.0,43428.55,3,0,0,50812.56,8,1674.63,0,209.33,0.0,1.0,1.0,0.0,0.0
9,20,97,4.0,121596.18,3,1,1,27518.9,0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0
10,19,98,2.0,88380.38,1,0,0,92620.88,5,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0
11,22,71,3.0,39000.16,1,0,1,48855.34,6,45.86,1,15.29,0.0,1.0,0.0,0.0,1.0
12,65,55,5.0,176566.91,2,0,0,84852.4,2,828.13,0,165.63,0.0,1.0,0.0,1.0,0.0
13,68,78,1.0,114988.93,1,1,1,83822.06,9,0.0,0,0.0,1.0,0.0,0.0,1.0,0.0
14,57,57,10.0,116161.91,1,1,1,71481.91,12,529.24,0,52.92,1.0,0.0,0.0,0.0,1.0
15,41,86,6.0,6117.21,1,0,0,89981.01,12,817.8,0,136.3,0.0,1.0,1.0,0.0,0.0
16,55,75,9.0,60459.3,3,1,0,49879.89,7,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0
17,60,60,3.0,13829.52,2,1,1,17040.78,8,125.05,0,41.68,1.0,0.0,0.0,1.0,0.0
18,49,47,10.0,138092.82,3,0,1,24693.3,10,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0
19,43,98,,68591.23,1,1,0,81001.18,7,267.25,0,,1.0,0.0,1.0,0.0,0.0
20,29,87,6.0,172663.48,1,0,1,51577.96,2,1161.54,1,193.59,1.0,0.0,0.0,1.0,0.0
21,49,66,7.0,7361.45,2,0,0,98517.88,0,598.9,0,85.56,0.0,1.0,1.0,0.0,0.0
22,44,65,5.0,4677.71,3,0,0,41457.29,0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0
23,49,53,,23570.52,3,0,0,41087.1,5,0.0,0,,1.0,0.0,0.0,1.0,0.0
24,46,37,9.0,40439.12,1,1,0,16401.16,2,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0
25,20,44,6.0,168010.6,3,0,1,84970.96,8,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0
26,32,68,1.0,103389.47,2,0,1,92582.7,4,0.0,1,0.0,1.0,0.0,0.0,1.0,0.0
27,39,28,6.0,132657.68,3,0,0,15328.58,10,781.16,0,130.19,1.0,0.0,0.0,1.0,0.0
28,49,86,4.0,60644.1,1,0,0,39436.03,12,133.58,0,33.4,0.0,1.0,1.0,0.0,0.0
29,23,67,3.0,33932.66,2,0,0,17437.88,11,225.65,1,75.22,0.0,1.0,0.0,0.0,1.0
30,57,76,9.0,133410.47,2,1,1,87166.09,3,1157.91,0,128.66,1.0,0.0,1.0,0.0,0.0
31,36,87,3.0,125823.13,1,0,0,78114.99,0,72.55,0,24.18,0.0,1.0,0.0,0.0,1.0
32,34,39,1.0,158047.62,1,1,1,36594.02,6,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0
33,40,66,8.0,119239.8,2,1,1,51056.77,0,1330.12,0,166.26,1.0,0.0,0.0,0.0,1.0
34,40,77,7.0,120281.14,2,1,1,29359.06,5,319.72,1,45.67,1.0,0.0,0.0,1.0,0.0
35,31,71,8.0,101291.73,2,1,1,22107.27,6,729.04,0,91.13,0.0,1.0,0.0,0.0,1.0
36,49,23,9.0,82697.83,3,0,0,49624.62,11,592.22,0,65.8,0.0,1.0,0.0,0.0,1.0
37,64,80,5.0,179687.8,3,1,0,11088.92,5,1375.37,0,275.07,0.0,1.0,0.0,0.0,1.0
38,42,45,8.0,186710.67,1,0,0,89722.88,8,0.0,0,0.0,1.0,0.0,0.0,1.0,0.0
39,25,26,1.0,27564.3,1,0,0,10426.99,9,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0
40,32,32,4.0,83008.46,1,1,1,31499.27,11,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0
